0,1,2,3,4
Casa de São Lourenço,https://casadesaolourenco.pt/,"The scenic drive to reach Casa de São Lourenço is a harrowing journey along the winding roads of Serra da Estrela, Portugal’s highest mountain range. But it’s well worth the effort to experience the five-star luxury and panoramic views, which become even more astonishing as the leaves paint the landscape in shades of amber and crimson. Amenities include the glass-walled São Lourenço Restaurant, which serves contemporary interpretations of local fare, and the impressive indoor-outdoor pool. Furniture by Portuguese modernist designer Maria Keil, along with the many snug fireplaces scattered throughout the property, lend it the feeling of a modern mountain getaway.",,"Estrada Nacional 232, KM49, 50 Penhas Douradas, Santa Maria, Manteigas, Guarda, 6260-162"
The Ivens,https://www.theivenshotel.com/,"Located in a historical 19th-century luxury warehouse and offering three dazzling dining options overseen by well-known Spanish interior designer Lázaro Rosa-Violan, The Ivens is a colorful oasis in the buzzy heart of the Chiado neighborhood. The hotel’s ornate decor—tropical plants, gold details, luxe upholstery, palm tree wallpaper, and elaborate tilework—is inspired by famed 19th-century explorers Roberto Ivens and Hermenegildo Capelo and pays homage to Portugal's Golden Age of Discovery.",,"Prc do Atlântico, Mexilhoeira, Póvoa de, Penafirme, Torres Vedras, LIS, 2560-046"
Hotel das Amoreiras,https://www.hoteldasamoreiras.com/,"Tucked away in the lush garden square of Jardim das Amoreiras, Hotel das Amoreiras is a boutique getaway that radiates a sophisticated yet cozy ambiance. Owners Pedro Oliveira and his wife Alicia Valero lovingly restored the once-neglected buildings into a “small grand hotel” with 17 refined rooms. Sumptuous materials abound, from the Portuguese marble in the bathrooms to the plush velvet upholstery in the dining area. Views span the verdant Amoreiras gardens—especially striking in the fall—and the iconic Águas Livres Aqueduct. Located in Príncipe Real, an upscale, fashionable neighborhood, the city’s best shopping and dining are just steps away.",,"Praça das Amoreiras 34, Lisbon, Lisboa, 1250-020"
Vermelho,https://www.vermelhohotel.com/,"Tucked away in the sleepy seaside village of Melides, Christian Louboutin's first hospitality venture, Vermelho—which means red in Portuguese—serves as a spirited nod to his famed red-bottomed shoes. Imbued with the designer’s artistic touch, the hotel encompasses three levels that elegantly surround a garden conceptualized by landscape designer Louis Benech. Hand-painted frescoes and opulent wood floors meld with a captivating blend of North African and European antiques, sumptuous fabrics, hand-carved Baroque-inspired doors, and a stunning assemblage of azulejos. With only thirteen rooms—as well as a spa, bar, and restaurant, Xtian—the hotel feels more like a vibrant, color-rich home than a hospitality project; adding to that feel is the fact that no two rooms are the same.",,"Herdade do Barrocal, Reguengos de Monsaraz, Alentejo, 7200-177"
Companhia das Culturas,https://www.companhiadasculturas.com/en/,"Agritourism boutique hotel Companhia das Culturas sits on 100 sprawling acres of cork oaks, olive trees, and apricot and fig orchards in the Castro Marim Nature Reserve in southern Portugal, just a short drive from the delightful coastal town of Tavira. The memorable breakfast spread includes freshly picked apricots, homemade bread with olive oil and fig preserves, eggs simmered in farm-fresh tomatoes, and cheese and butter from a neighboring farmstead. A marble Turkish hammam is a welcome addition to the rural property and perfectly rounds out the commitment to relaxation. Indulge in a massage using products from the hotel’s 8950 line, all produced from essential oils and featuring plant extracts native to the surrounding ecosystem.",,"Fazenda S. Bartolomeu, Rua do monte grande, 8950-270 Castro Marim"
,https://casa-mae.com/,"Location: Rua Jogo da Bola, 41, Lagos, 8600-712",,
Go local in Tokyo,,"Some might crave more adventure: Mountain hikes and rainforest trails, or ramshackle markets brimming with exotic fruits. Others, perhaps, look for inspiration in the continent’s cultural tapestry, whether incense-swirled shrines or temples wrapped in prayer flags. From action-packed adventures in Bhutan to a toes-in-the-sand Indonesian escape, below are nine alternative ideas for a non-standard honeymoon in Asia—and the best honeymoon hotels to stay at along the way.",,"3 Kagurazaka, Shinjuku City, Tokyo 162-0825"
Sleep under the stars in Sumba,https://www.thedatai.com/,"Howling macaques and tree-rustling hornbills deliver the soul-soothing soundtrack for a night in the steamy rainforest of Malaysia’s Langkawi Island, where The Datai has welcomed adventure-seeking honeymooners since opening in the early ’90s. But despite its age, this tropic-tinged retreat has aged gracefully (helped by a multi-million dollar facelift just before the pandemic), and to this day remains one of Southeast Asia’s finest. Don’t be deterred by the resort’s family-friendly label. Couples will find plenty of alone time in the private pooled villas along the babbling stream that snakes through the resort, or during the candlelit dinners their butlers will happily set up on its semi-private beach. Meanwhile, its ancient jungle setting is said to harbor restorative powers—channel them during an early-morning walk with resident naturalist Irshad Mobarak, who can guide you through the healing benefits of ‘Mandi Embun’ forest bathing.",,"07000 Pulau Langkawi, Kedah Darul Aman, Malaysia"
Valley-hop around Bhutan,,,,"Chunimeding, Babesa, Chang Gewog​, Thimphu, Bhutan​"
Go beach-hopping in India,https://shintamani.com/wild/,"There’s a Jeep to whisk you to the lobby, of course, but daredevils opt for the zip-line arrival to Shinta Mani Wild. Only by zooming for more than 400 meters above the forest canopy—and the roaring river that cuts through it—will you realize just how wild this corner of southern Cambodia’s Cardamom Mountains truly is. Spun from the eccentric mind of architect Bill Bensley, this green gem threads lightly on its land, a swathe of hardwood forest once destined for logging but saved just in time. Only 15 luxurious tents—all vintage leather trunks, patchwork-clad furniture, and fully stocked cocktail bars—have been pitched up along the river, and not a single hardwood tree has been chopped down in the process. Days here fill with ranger-guided jungle treks and anti-poaching patrols on the back of rattling motorbikes, which are part of the resort's partnership with the local Wildlife Alliance NGO to protect the forest’s endangered species. Afterwards, the spa treatments (included in the rate) and the lounger-lined cistern pool deliver welcome relief to aching muscles. When weather allows, take the resort’s pontoon-style exhibition boat for a spin—sundowners on its roof while floating down the little-visited Srey Ambel Estuary make for magical memories.",,"Prey Praseth Village, Ou Bak Rothed Commune, Kampong Seila District Preah Sihanouk Province, Cambodia"
Be one with nature in Bali,https://www.kahaniparadise.com,"From its kaleidoscopic temples to its caramel-colored, palm-pinned bays, western India’s little-visited Gokarna province feels like the Goa (India’s erstwhile hippie hub one province to its north) of 30 years ago. You won’t find any mega resorts here (yet), and bass-thumping beach clubs are still few and far between. Instead, its coastline offers a seemingly endless chain of quiet beaches, where women in colorful saris sell fresh fruit and intrepid bohèmes—seemingly time-warped from the area’s hippie heyday—still camp in the jungle fringe. But with Kahani Paradise as your base, there’s no need to rough it. Set on a sprawling hillside estate overlooking the confluence of the Aghanashini River and the Arabian Sea, this private villa retreat features breezy bedrooms studded with antiques and a dreamy pool wrapped in tropical gardens. While the candlelit restaurant is a lovely spot, it’s the destination dinners, with flower-flecked tables and fairy lights set up on the estate’s most enchanting corners (the clifftop cabin, or the private step well among them) that bring romance to a whole new level.",,"Belekan, Kumta, Karnataka, 581326"
Hit the surf in Siargao,,,,"Jl. Banjar Selat, Buahan Kaja, Payangan, Bali, 80572"
Find an ethical island idyll in Cambodia,https://www.songsaa-privateisland.com,"If the weather is right and you squint your eyes, Song Saa Private Island, a 40-minute speedboat hop from southern Cambodia’s mainland, feels almost Maldivian. It has all the trappings of a typical Indian Ocean hideaway, including the gin-clear waters teeming with rainbows of tropical fish and thatch-roofed overwater villas connected by swirling stilted walkways from reclaimed timber. The pools—both the crescent-shaped communal one and the private ones attached to each villa—are just as pretty, but what sets this retreat apart is its proximity and commitment to the local culture and community. A stilted fishing village sits just across the water, and every sunset, boats sputter past with their wooden bellies full of fish. The resort’s Song Saa Foundation, which guests can join on village tours and expeditions around the area’s ecosystems, founded the country’s first marine reserve and makes sure that the local community reaps the benefits.",,"Song Saa, Koh Rong Archipelago, Near Sihanoukville, Cambodia"
Hotel Arts Barcelona,https://www.ritzcarlton.com/en/hotels/bcnrz-hotel-arts-barcelona/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"The hotel gets its name from its founders’ love of art, and it shows across the entire hotel. There is an art space in the lobby that works in collaboration with a Madrid gallery and hosts revolving exhibitions, as well as an art-focused suite that features paintings curated by the gallery on display. For suites on the highest floors, there’s also a private club space with a private concierge and gourmet food and wine. The top few floors, however, are reserved for the penthouse apartments, accessible by a separate elevator for extra privacy. The ultra-luxe spaces include multiple bedrooms, cavernous living rooms, space for a private chef, and breathtaking views of the sea and the city, as well as wooden furniture designed by modernist designer Jaime Tresserra—it’s both stylish and serene.","Michelin-starred and casual restaurants, shopping, spa, two pools, fitness center, butler service, transfer service",
Hotel Mirlo,https://mirlobarcelona.com/,"The villa’s tennis court has been transformed into a swimming pool, surrounded by a magnificent garden with a burbling fountain for relaxing and reading in. (In fact, The Shadow of the Wind—one of Spain’s most famous mystery novels, and a favorite of Stephen King—is set at the house that became Mirlo, so your vacation reading comes pre-selected.) Meanwhile, the restaurant focuses on local Mediterranean food with a modern twist courtesy of chef Ismael Alonso. Because the hotel is in a more residential neighborhood, you’ll be dining with locals more than other tourists—which is a good sign, because, of course, the Catalonians know Catalonian food best, whether local cava, fish dishes, or arroz.",,"Address: Carrer de la Marina, 19-21, 08005 Barcelona, Spain"
Nobu Hotel Barcelona,https://barcelona.nobuhotels.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,"The Nobu Hotel Barcelona near Plaza de España is a towering monument to a fusion of Japanese and Catalan cultures. The hotel has over 200 rooms with gorgeous wooden minimal showers and wooden tubs reminiscent of Japanese onsen baths, while the rooftop is the highest pool lounge in the city, and allows you to take in sweeping views of the city while sipping a cocktail like the yuzu-mezcal Coyote. Of course, the hotel features a Nobu restaurant on its top floor, where you can enjoy the restaurant’s signature Japanese dishes with some Catalonian-inspired touches—the black cod croquetas are an umami-sweet revelation. The underground spa, on the other hand, is a soothing cavernous monument to wellness, using Natura Bisse and Seed to Skin products.","Restaurant, in-room steam rooms, outdoor pool","Address: Tibidabo Avenue 32, Barcelona, Spain"
The Barcelona Edition,https://www.marriott.com/en-us/hotels/bcneb-the-barcelona-edition/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"Even though the hotel has such wonderful surroundings, you’d be forgiven for not wanting to leave. Upon arrival, the Edition’s signature sweeping marble spiral staircase whisks you up to The Punch Room, the hotel’s speakeasy-inspired bar with sumptuous leather seating and a Castillian-style golden pool table. The rooftop plunge pool and bar offer sweeping views and delicious Asian street food, while the basement holds Cabaret, a nightclub and restaurant. Finally, Veraz, the main restaurant, serves a selection of fresh, seasonal dishes—all focusing on produce sourced from the Santa Caterina Market next door.","Restaurants, fitness center, rooftop pool, spa, dog-friendly","Address: Av. de Roma, 2, 4, 08014 Barcelona, Spain"
Hotel El Palace,https://www.hotelpalacebarcelona.com/,"El Palace is the pinnacle of old Barcelona glamour. The 103-year-old hotel, formerly the Ritz, is in the very center of the city in the historic Eixample district, making it a stone’s throw away from every major shopping and tourist destination. With its antique furnishings, hand-painted wallpaper, and sumptuous velvet seating, the hotel’s lobby is the absolute height of decadence—and that only gives way to rooms and suites all named after icons who have called the hotel home, like Josephine Baker, Salvador Dalí, and Ronnie Wood of the Rolling Stones, who even designed the suite that bears his name.","Restaurants, fitness center, rooftop pool and restaurant, nightclub","Address: Avenida de Francesc Cambó 14, 08003 Barcelona, Spain"
Serras Barcelona,https://serrashotel.com/,"Serras is a jewel of a boutique hotel, consisting of 28 rooms housed in a building that was once Pablo Picasso’s studio, and nestled right in the heart of the Gothic Quarter along the Passeig de Colom, where the bustling city center meets the more relaxed marina strip of bars and restaurants. Though Serras is perfectly located, the real draw is its service. With multiple concierges available to help you at all times—whether recommending restaurants, attractions, and ordering taxis—you’ll really feel taken care of.","Restaurants, cocktail bar, fitness center, rooftop pool and cinema, spa","Address: Gran Via de les Corts Catalanes 668, 08010 Barcelona, Spain"
The One,https://www.hotelstheone.com/en/barcelona?utm_source=Google%20My%20Business&utm_medium=Boton%20sitio%20web&utm_campaign=HTO,"The hotel is also one of the city’s more design forward, with interiors imagined by Spanish AD100 designer Jaime Beriestain, and featuring everything from a striking glass-lined open atrium running through the hotel, down to thoughtful details like switches by the bedside for closing the curtains. The rooms are spacious—especially for their reasonable price—and have luxurious separate shower rooms, while in the basement, you’ll find a spa with Finnish saunas, a heated pool, and a treatment area that uses iS Clinical products.","Restaurant, rooftop pool, breakfast, fitness center","Address: Passeig de Colom, 9, Barcelona, Spain"
Mandarin Oriental Barcelona,https://www.mandarinoriental.com/en/barcelona/passeig-de-gracia?src=loc.local_listing.mobcn.ggl,"The Mandarin Oriental is the first name in luxury for a reason—and its Barcelona outpost is no different. Located on the Passeig de Gracia, the city’s prime shopping street, in an old bank building, its lobby and main rooms mimic the vast and cavernous proportions of their former life as vaults, while its white glass walkway and mirrored gold and amber spaces are conceived by the celebrated Spanish architect and industrial designer Patricia Urquiola.","Restaurants, fitness center, rooftop pool, spa","Address: C/ de Provença, 277, 08037 Barcelona, Spain"
,,"Address: Pg. de Gràcia, 38-40, 08007 Barcelona, Spain",,
Classic Hotels,,"The one thing all of these stays have in common is they each serve as the perfect launchpad for exploring Lisbon’s labyrinth of vibrant old streets, bustling nightlife, evolving food scene, and scenic beaches. Below, the very best Lisbon hotels and unique stays to book if you’re traveling to Portugal this summer—and beyond.","Restaurants, bars, outdoor swimming pool, terrace, massage room, pet friendly","Address: Rua de Santa Catarina 1, Misericordia, 1200-401 Lisbon, Portugal"
Palácio Príncipe Real,https://www.palacioprincipereal.com,"In a pink 19th-century palace formerly belonging to the Lisbon Teixeira da Mota family, the renovated Palácio Príncipe Real provides a luxurious respite in the center of the city. If the decadent old-world details, like the tiled walls, stand-alone tubs, and sweeping staircases aren’t enough to woo you, maybe it’ll be those special moments sipping a glass of wine from your bedroom veranda or reading a book in the lush garden after a swim in the pool.","Saltwater pool, restaurant and bar, wellness zone, à la carte breakfast, Byredo toiletries","Address: Rua Capelo 5, Santa Maria Maior, 1200-224 Lisbon, Portugal"
Hotel Valverde Lisboa,,,"Restaurant, bar, outdoor swimming pool, private parking","Address: Avenida da Liberdade 164, Santo Antonio, 1250-146 Lisbon, Portugal"
Memmo Alfama,,"Memmo Alfama is the first boutique hotel in the city’s oldest neighborhood, Alfama. If the unmatched views of the city and Tagus River from the terrace pool bar aren’t enough to entice you, maybe it’s the airy rooms, each with a coastal feel that’ll seal the deal. While there’s no restaurant here, breakfast is served in the laid-back living room where you can help yourself to the honest bar.","Outdoor swimming pool, terrace, bar, complimentary Wi-Fi","Address: Travessa das Merceeiras 27, Santa Maria Maior, 1100-348 Lisbon, Portugal"
Sublime Lisboa,https://www.sublimelisboa.pt,"In an historic 20th-century townhouse in the city’s central Amoreiras district, Sublime Lisboa, formerly the beloved Casa Fortunato, is a luxury boutique hotel featuring 15 impeccably-designed rooms swathed with geometric wallpapers, as well as a vibrant shared lounge and a restaurant and bar. Book a Sublime Suite and you’ll have your own private terrace or balcony with the best views of the neighborhood.","Hillside gardens, outdoor pool, individually-designed rooms, basement club","Address: Estr. do Rodízio 86, 2705-337 Colares, Portugal"
Dear Lisbon - Charming House,,,"Outdoor pool, multilingual staff, breakfast included, airport shuttle available on request","Address: R. de Marcos Marreiros 13, 1200-254 Lisboa, Portugal"
Baixa House,,"One of the most homey stays in Lisbon is at Baixa House, where you choose from 13 quirky apartments, each with its own unique design aesthetic and color palette, making it feel like you’re staying at a friend’s house. While the apartments are self-service, breakfast items for the following day are replaced every day between noon and 4 p.m., and fresh bread is delivered between 8 and 8:30 p.m. daily.","Daily cleaning, fresh products for breakfast, complimentary Wi-Fi","Address: Rua dos Fanqueiros, 81 1100-227 Lisboa"
Dona Graça,,"Graça is one of Lisbon’s oldest suburbs, steeped in cultural traditions and lined with stunning mansions atop the city’s highest hill. With a more local feel, it’s the ideal neighborhood if you’re hoping for a relaxing stay. Dona Graça is the perfect launchpad for visits to the bustling Bairro Alto and Baixa neighborhoods, a short 15 minutes away, balanced with some sun-soaked R&R in the aromatic orange garden which features a swimming pool and lounge areas. Inside the 19th-century family home, you’ll find eight carefully renovated apartments with wooden floors, limestone furniture, and local clay pottery.","Breakfast, next-door restaurant, next-door bar, fully equipped kitchenette","Address: Tv. do Almada 9 1100-018 Lisboa, Portugal"
Casa C’Alma,,"Six minimalist rooms make up Casa C’Alma, a guesthouse situated in a shaded corner of the Principe Real neighborhood. In the property’s living room, you’ll find a curated library and an honesty bar where you’re encouraged to socialize with other guests. The kitchen and community table, where breakfast is served, is available for guests to use at their leisure with full access to the fridge, microwave, and coffee maker.","Breakfast, free Wi-Fi, shared lounge area, elevator","Address: Praça das Flores 48 1º, 1200-192 Lisboa, Portugal"
Casa do Jasmim,,"Optimally located in the Principe Real neighborhood, Casa do Jasmim is an affordable launchpad to go out and explore the area. Albeit simple, the guesthouse offers a hearty breakfast within a whimsical breakfast room featuring ample gluten-free options and warm staff eager to offer up tips and local recommendations to make the most of your stay.","Free Wi-Fi, air conditioning, daily housekeeping, multilingual staff, outdoor terrace","Address: R. do Jasmim 19, 1200-311 Lisboa, Portugal"
Airbnbs,,"Lisbon’s Chiado neighborhood is the city’s theater and arts hub, and is thus referred to as the “Montmartre of Lisbon.” The lively and bohemian streets are lined with restaurants and shops open until late, and at this sun-drenched duplex on Rua da Bica, you won’t even have to leave the house to feel the energy come alive at night, given the two outdoor spaces from where you can kick back with a Douro red to end the day or begin the night. In the loft’s lower floor, there’s a fully-equipped kitchenette, a spacious living and dining area, and the bathroom. The top floor features the bedroom which looks out to the terrace. While the streets can get busy at night— especially on Fridays and Saturdays—the double glass windows keep the noise at bay.","Breakfast, daily cleaning, mini-market, complimentary Wi-Fi","Address: Rua da Esperança 4, 1C, Estrela, 1200-657 Lisbon, Portugal"
Cascais Garden House With a Plunge Pool,,,"Outdoor swimming pool, sauna, terrace, kitchenette, complimentary Wi-Fi",
Collector House with Swimming Pool,,,"Outdoor pool, garden, kitchen, sound system, private entrance, complimentary Wi-Fi",
,,"When you book something through our retail links, we may earn an affiliate commission.",,
"Shila, Athens",https://cna.st/affiliate-link/ms25gbZTgftsrYyxLzSsTVcywij7ND8anp5AgzHTodN5CuumBoXw3bhe1t4H277CMc7de7DtzpiGE4TJr4dqZ8kWbFYuPxvu6A?cid=60d62ce13f282b861057d9a7&xid=fr1708761451831bei,Below are the best hotels—from tried-and-true favorites to newcomers—to book this summer.,,"Address: Mantzarou 10 Kolonaki, 10672 Athens, Greece"
"Skinopi Lodge, Milos",,,,"Address: Oia, Santorini, Greece, GR 847 02"
"Kalesma, Mykonos",,,,"Address: Milos, Greece"
"The Rooster, Antiparos",,,,"Address: Kolympithres, Naoussa Paros, 84401, Greece"
"Mystique, Santorini",https://cna.st/affiliate-link/21ph1kqPR9otXhBBVHQYRPF7V1KELPK1uVC6gzPig4KsuomhGv9TvAjfpJksSbLzdTUyu5ktQKAmEPP3HjDhqpRC6PDzPDb6QMEvc3Drji4jnuAPX7dX3oDh8rP3Yis71JzVqbCbrLUVXBLh?cid=60d62ce13f282b861057d9a7&xid=fr1708761451831cch,"The white-washed walls of Oia’s timeless backdrop are disrupted—though rather seamlessly—by the cream-colored ones of Mystique, but the hotel still follows the island’s emblematic architecture with its Cycladic-inspired suites, restaurants, and infinity pools. High-end service, sea views (easily mistaken for green screens), suites, and villas featuring gyms are just a few of the perks at Mystique. Plus, the hotel is perfectly located in close proximity to all of the shops, tavernas, and dreamy streets of Oia.",,"Address: Oia, Santorini 84702, Greece"
Pagostas,https://pagostas.com,"Maria Lemos (of fashion wholesale agency Rainbowwave and the beloved London shop Mouki Mou) and her husband Gregoris quietly unveiled Pagostas, a three-room guest house hotel, last year on the paradisal island of Patmos—and it’s since become the fashion crowd’s best-kept secret. Set within a jasmine-scented courtyard and walled garden designed by renowned landscape gardener Helli Pangalou, they preserved the traditional architectural features of the monastic guesthouse, with its stone walls, vaulted archways, and terracotta floor tiles. The three large guestrooms are filled with furniture made by local carpenters and sourced at antique markets, while textiles were hand-loomed in Athens and glasses hand-blown in Crete. Guests are encouraged to make themselves at home in any of the various shared spaces—especially at breakfast, which is served anytime and anywhere.",,Address: Platys Gialos Sifnos 84003 Greece
Oku Kos,https://www.okuhotels.com/oku-kos/,"The eco-minded, adults-only Oku Kos—located on a private beach only accessible to its guests—is designed to feel like its own private village, where all aspects of the island can be enjoyed without leaving the property. One and two-story cubist villas surround the hotel’s multiple gardens and patios with large terraces that extend into private outdoor spaces. The indoor-outdoor restaurant, featuring fresh and colorful Greek cuisine, can be enjoyed poolside or beachside with the vibey tunes of the house DJ drifting on the breeze. After a long day in the sun, the spa awaits, offering a range of holistic treatment options, as well as a glass-walled sauna that overlooks the lush courtyard and a domed hammam.",,"Address: Lagkades, Agios Fokas, Tinos, 84200, Cyclades, Greece"
"Domes Zeen Chania, Crete",https://domesresorts.com/domeszeenchania/?gclid=Cj0KCQjwz8emBhDrARIsANNJjS6kZDMslTV8ItMOAlZzUXVvELY9S7W7ZVOrHbR3AY-hqCeHV7hPnQQaAiOQEALw_wcB,"From the outside, you’d never believe Domes Zeen Chania was family-friendly, but that’s precisely what lures stylish families to the beachfront Cretian resort. While “family friendly” might not initially suggest “cool,” its spacious minimalist rooms, designed with natural furnishings, ranging from bungalows and suites will convince you otherwise—as will the black-tiled pool that overlooks the sea. While the pool, beach, and two restaurants will surely be enough to keep the kids entertained, the immersively-designed kids club features play areas punctuated with yurts and teepees where kids can roam free and engage in a wide range of educational activities (even sleepovers!) giving parents some much-needed time off.",,"Address: Domes Zeen Chania, Apteron Rd., Chania, Greece 73 100"
"The Carlyle, Upper East Side",,"The search for the best hotels in New York City isn’t exactly the easiest endeavor. Why? Because there are so many options—like, 705 to be exact. Even the best attempts at narrowing it down leave choices upon choices. Want to stay in midtown? Cool, there are 114 hotels in that neighborhood alone. Plan to splurge on a five-star hotel? Take your pick from over 122! Boutique more your style? Wonderful—Manhattan has 76 independently operated properties with under 200 rooms.",,
"The Mark, Upper East Side",,"If the Carlyle ever closed, an iconic bit of the city would be lost along with it—that’s how synonymous this storied hotel is with the soul of New York. It’s where Princess Diana stayed during her royal visit in the 1980s, and where her son Prince William returned with his new bride Kate Middleton two decades later. John F. Kennedy stayed there so much that it was dubbed the “New York White House.” After he was assassinated, Jackie lived there for three months. Bemelmans—named after Madeline creator Ludwig Bemelmans, who painted murals on its walls—remains the most famous bar in the city. There’s a documentary about it, books about it, and even a clothing line about it.","Restaurants, bars, lounge, spa, fitness center, pet-friendly, business services","Address: 35 E 76th St, New York, NY, 10021"
"Fasano Fifth Avenue, Upper East Side",,"Like The Carlyle, it’s located in close proximity to many major museums and is half a block from Central Park—of which some suites even have an expansive view. (Remember the Duchess of Sussex’s baby shower? That was hosted in their penthouse.) — E.T.","Restaurants, bars, snack bar/deli, fitness center, complimentary bicycle rentals, pet friendly, business services","Address: 25 E 77th St, New York, NY 10075"
"The Lowell, Upper East Side",,"It's the perfect place to post up if you're looking for a more discreet, peaceful hospitality experience. The Fasano, which doubles as a private member's club, doesn't have any social spaces open to the public, and, with just a handful of rooms, interaction with other guests is minimal. The service is impeccable, the food elevated without being stuffy, and the front desk will know you by name. Plus, with the Upper East Side's main attractions close by and Central Park across the street, you'll still feel in the middle of it all. — E.T.","Restaurant, café, packaging and delivery services, private shopping appointments, fitness center, sauna","Address: 815 5th Ave, New York, NY 10065"
"Aman New York, Midtown",,"All 74 rooms, the majority of which are suites, are designed by Michael D. Smith. Smith, best known for his work with the Obama White House, embraced a residential aesthetic that’s both neoclassical and contemporary: bedrooms have floral Iksel wallpapers while sitting rooms are in warm muted colors with detailed carvings. It’s a place set up to feel like you can stay awhile—and many do. Like the Fasano, many of their lodging offerings have an apartment-like layout complete with kitchens, meaning guests can book for months or more. — E.T.","Restaurants, bars, fitness center, pet friendly, library, business center, terrace, in-room massages","Address: 28 East 63rd Street, New York, NY, 10065"
"Soho House, Meatpacking District",,"Housed in the historic Crown building on 57th Street, designed by the same architects as Grand Central Terminal, Aman's signature Japanese-meets-Scandinavian minimalism is present in full force: neutrals, woods, and shades of black adorn the spacious 83 guest rooms, the vast spa, and the rooftop terrace. Modern art is scattered throughout: each suite, for example, has a mural by contemporary Japanese artist Ryoko Adachi. Yet despite all the worldly influences, the property also has a local touch: a jazz club, open to the public, offering nightly performances. — E.T.","Restaurants, bar, jazz club, swimming pool, fitness center, spa, sauna, steam room, complimentary house cars","Address: 730 5th Ave, New York, NY 10019"
"The Baccarat, Midtown",,"The unfussy approach begins with the room selection (pick between cozy, medium, and big) and extends to the charming, homely decor, from velvety sofas to weathered leather ottomans to roll-top copper bathtubs to match the brass light fittings and doorknobs. The perfectly-judged menu also has something to satisfy every craving, whether that’s a hearty bowl of cacio e pepe after a red-eye, or a lighter chopped salad or poké bowl for a room service night in. Two decades since it first opened, there’s still nowhere that makes you feel like you’re staying the night at a friend’s (in the best way possible) quite like Soho House. — Liam Hess","Outdoor swimming pool, restaurant, bar, spa, complimentary Wi-Fi","Address: 29-35 Ninth Avenue, New York, NY 10014"
"Ritz-Carlton, NoMad",,"The Ritz Carlton's newest outpost on 28th Street and Broadway boasts some of the best views from any hotel in the city: to the north, you can gaze closely upon the Empire State and Chrysler buildings, whereas to the south, the Freedom Tower is visible at the tip of Manhattan. (Smartly, guest rooms start on the 14th floor, meaning guests can soak in the splendor from their beds—or, quite literally, from their bathtubs.)","Indoor swimming pool, restaurant, bar, spa, fitness center, library, sauna, steam room, terrace, business services","Address: 28 West 53rd Street, New York, NY, 10019"
"The Ned, NoMad",,"Private members’ club The Ned, which opened to much fanfare this spring, includes a well-appointed hotel where no application is required. The guest rooms follow a rich jewel-tone aesthetic, inspired by the Beaux-Arts architecture of the building and the 1920s style of their sister property in London. “I wanted to make it glamorous—to have loads of atmosphere,” CEO and founder of Soho House Nick Jones previously told Vogue. — E.T.","Restaurants, bars, terrace, fitness center, complimentary Wi-Fi","Address: 1170 Broadway , NoMad, New York, NY 10001"
"Hotel Chelsea, Chelsea",,"Plenty of hotels are willing to refer to themselves as iconic, but few have earned the moniker quite like the Hotel Chelsea. Behind its red brick, iron-balconied facade—and its immediately recognizable neon signage—Madonna shot her most provocative photographs, Lou Reed strummed his guitar, Andy Warhol rolled his camera, and Dylan Thomas took his final breath. Following a period where its status as a residence looked in serious danger, and then a lengthy refurbishment by the team behind The Bowery and The Jane, the Hotel Chelsea finally reopened its doors this spring with a glamorous new makeover—albeit one that has been carefully considered to ensure it retains plenty of its original charms.","Restaurants, bars, complimentary Continental Breakfast, fitness center, personal trainers","Address: 147 Mercer St, New York, NY 10012"
"The Wythe, Williamsburg",,"Reflective of its Brooklyn neighborhood’s industrial roots, The Wythe is housed in an old barrel and rope factory. Yet it doesn’t feel concrete or cold—the rooms are adorned in bespoke toile wallpaper by Dan Funderburg and contemporary, colorful art hangs in many of the common spaces. You’ll want to order room service: their restaurant, Le Crocodile, received a three-star review from The New York Times. — E.T.","Restaurant, bar, fitness center, complimentary Wi-Fi","Address: 222 West 23rd Street, Chelsea, New York, NY 10011"
"Ace Hotel, Boerum Hill",,"The Roman and Williams-designed Ace Hotel in downtown Brooklyn has attracted the attention of aesthetes everywhere thanks to its facade by modernist artist Stan Bitters, a sculptural light installation that acts as an homage to Tokyo’s now-demolished Hotel Okura, and a bar by Verdan Jakšić. Locals and visitors alike will find much to appreciate about the ground floor restaurant, As You Are, which serves up delectable pancakes for breakfast and seafood worth savoring at dinner. — E.T.","Restaurant, bar, fitness center, meeting rooms","Address: 252 Schermerhorn St, Brooklyn, NY, 11217"
"Fouquet’s, Tribeca",,"A sister property to the famed five-star hotel on Paris's Champs-Élysées, Fouquet’s Tribeca location harmoniously combines downtown industrial design and Parisian flair thanks to inspired interiors by Martin Brudnizki. (An example? Some guest rooms are adorned in custom Tribeca toile de jouy by Schumacher, a playful interpretation of the classic French wallpaper print.)  — E.T.","Restaurants, bar, indoor swimming pool, spa, sauna, steam room, fitness center, lounge","Address: 456 Greenwich Street, Tribeca, New York, NY 10013"
,,"Address: 9 Orchard Street, Chinatown, New York, NY 10002",,
